"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
  3,3375, 9,"Communication","Yes","In person / Online","1",-4.11064709, 9.10316677, 9.81022347,-0.35741036,651
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,653
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,654
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,656
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,657
 60,3750,12,"Marketing","Yes","Online","3", 0.71151428,-0.58385617, 0.52490219,-0.10995153,658
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,665
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,666
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,667
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,668
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,670
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,676
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,679
100,3900,12,"STEM-Related","Yes","Online","3", 0.91839740,-1.29945980, 0.08326836, 1.84254051,704
100,3900,12,"STEM-Related","Yes","Online","3", 0.91839740,-1.29945980, 0.08326836, 1.84254051,705
100,3900,12,"STEM-Related","Yes","Online","3", 0.91839740,-1.29945980, 0.08326836, 1.84254051,707
100,3900,12,"STEM-Related","Yes","Online","3", 0.91839740,-1.29945980, 0.08326836, 1.84254051,708
100,3900,12,"STEM-Related","Yes","Online","3", 0.91839740,-1.29945980, 0.08326836, 1.84254051,709
 60,3699,12,"Marketing","Yes","Online","3", 0.67420319,-0.58405976, 0.49614024,-0.11896410,713
 60,3699,12,"Marketing","Yes","Online","3", 0.67420319,-0.58405976, 0.49614024,-0.11896410,714
 60,3699,12,"Marketing","Yes","Online","3", 0.67420319,-0.58405976, 0.49614024,-0.11896410,715
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,716
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,719
 50,3900,12,"Governance","Yes","Online","3", 0.49003810,-0.13050154, 0.46275644,-1.06266644,721
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460,722
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460,723
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460,724
 40,3699,12,"Marketing","Yes","Online","3", 0.48386475,-0.18869059, 0.55652401,-0.63165460,725
 40,2496, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.12795726, 0.66102730,-1.86505064,-2.02956400,726
 40,2496, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.12795726, 0.66102730,-1.86505064,-2.02956400,727
 40,2496, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.12795726, 0.66102730,-1.86505064,-2.02956400,728
 40,2496, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.12795726, 0.66102730,-1.86505064,-2.02956400,729
 40,2496, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.12795726, 0.66102730,-1.86505064,-2.02956400,730
 40,2496, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.12795726, 0.66102730,-1.86505064,-2.02956400,731
  5,5750, 9,"Finance","Yes","In person / Online","1",-1.78472097, 5.99303993, 5.40203254, 2.88251066,733
  5,5750, 9,"Finance","Yes","In person / Online","1",-1.78472097, 5.99303993, 5.40203254, 2.88251066,735
 50,1950, 4,"Finance","Yes","Online","2",-3.61092665, 1.95806025,-1.96259667, 2.72412152,738
 40,3750,12,"STEM-Related","Yes","Online","3", 0.23764357,-0.11395107, 0.17982571, 0.27796144,739
 40,3750,12,"STEM-Related","Yes","Online","3", 0.23764357,-0.11395107, 0.17982571, 0.27796144,740
 40,3750,12,"STEM-Related","Yes","Online","3", 0.23764357,-0.11395107, 0.17982571, 0.27796144,741
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,751
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,752
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,753
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,754
 40,3900,12,"STEM-Related","Yes","Online","3", 0.34738208,-0.11335227, 0.26441967, 0.30446902,755
 51,1950, 4,"STEM-Related","Yes","Online","2",-2.32233200, 0.51546213,-1.96424496, 0.92653447,759
